"beta_0","beta_1","beta_2","lambda"
"176",5.86222252973418,-1.17406207139117,-2.50364949667365,0.0389837531755229
"177",5.60875475358695,-1.10134049065725,-1.98540873383653,0.0369653647407159
"178",5.62513965192729,-1.07369382879919,-1.52688745707296,0.0341506052156821
"179",5.51855103007684,-0.888543737889664,-1.73684688491162,0.0427224542265408
"180",5.3682915996572,0.00764682220318069,-2.12944145081307,0.0640485985888606
"181",5.50591428270872,0.0377357190267899,-1.35443741522904,0.0747002617866043
"182",5.66687686876937,-0.370302357768061,-0.98578750986265,0.0453922241000843
"183",5.63360788140731,-0.395727331478744,-0.655823756543893,0.0551693666668495
"184",5.204611554789,-0.0159832393584898,0.684531540256697,0.0149353418640891
"185",5.44245399084383,-0.412025876043916,0.695336538572466,0.0149353418640891
"186",5.1299613223172,-0.343911422370577,1.28863532484294,0.0149353418640891
"187",4.58652702367078,-0.0503739725374573,3.22302809090211,0.0149353418640891
"188",5.08001410178536,-1.07160366995495,2.80862244326662,0.0149353418640891
"189",5.04306499693838,-1.0731831220462,3.18136933903283,0.0149353418640891
"190",5.00350929457817,-1.25370999319623,4.1744868592101,0.0149353418640891
"191",6.36858400876245,-2.67582806167749,-1.71908729205506,0.0543280606881228
"192",5.70997395187241,-2.17511218659575,1.94622311578062,0.0155575527302897
"193",5.08649325870576,-1.85149615738011,3.22513104571345,0.0149353418640891
"194",5.26007082733211,-2.0868338336742,3.9789777494943,0.0149353418640891
"195",5.2527064437712,-2.56034630311419,3.94354448737397,0.0149353418640891
"196",5.83040408251974,-2.36445387807453,-3.63189449309603,0.0651964022217228
"197",5.34671757387621,-2.94021416604069,2.96084159727217,0.0149353418640891
"198",5.57525472727885,-2.72765073963961,-3.04439325951876,0.0453922241000843
"199",5.68816767604023,-2.96319451827957,-3.58857548620511,0.0351694256756588
"200",5.36855346201643,-2.5943178637955,-3.17333171948319,0.0344810612828002
"201",5.11454351689269,-1.82093334448124,-3.36007554578867,0.0459717393416036
